number,total,week,days
1,273,1575763200,"[4,54,62,47,44,57,5]"
2,236,1576368000,"[4,53,53,58,39,28,1]"
3,40,1576972800,"[1,14,14,1,2,6,2]"
4,89,1577577600,"[1,32,22,0,18,16,0]"
5,295,1578182400,"[5,50,64,46,53,73,4]"
6,340,1578787200,"[13,69,59,73,56,63,7]"
7,301,1579392000,"[12,30,82,63,55,57,2]"
8,291,1579996800,"[19,88,26,89,44,22,3]"
9,416,1580601600,"[4,43,91,97,80,99,2]"
10,352,1581206400,"[8,86,71,56,65,63,3]"
11,368,1581811200,"[2,54,68,76,82,74,12]"
12,279,1582416000,"[26,37,30,95,52,35,4]"
13,344,1583020800,"[7,70,53,81,59,64,10]"
14,250,1583625600,"[8,60,45,35,56,42,4]"
15,235,1584230400,"[7,44,44,52,49,38,1]"
16,398,1584835200,"[5,53,69,81,88,97,5]"
17,316,1585440000,"[20,77,48,74,41,52,4]"
18,327,1586044800,"[11,70,64,55,78,31,18]"
19,382,1586649600,"[20,49,58,68,77,80,30]"
20,403,1587254400,"[25,69,86,81,64,71,7]"
21,274,1587859200,"[9,95,35,73,32,26,4]"
22,311,1588464000,"[5,61,71,68,65,35,6]"
23,373,1589068800,"[4,73,73,83,66,72,2]"
24,208,1589673600,"[11,49,38,73,13,13,11]"
25,253,1590278400,"[2,41,63,65,24,48,10]"
26,287,1590883200,"[5,68,40,87,43,36,8]"
27,336,1591488000,"[3,63,65,48,88,60,9]"
28,320,1592092800,"[5,63,80,71,55,33,13]"
29,326,1592697600,"[15,63,78,56,63,50,1]"
30,236,1593302400,"[14,72,31,66,34,16,3]"
31,222,1593907200,"[0,45,43,47,49,31,7]"
32,245,1594512000,"[10,62,38,28,54,50,3]"
33,259,1595116800,"[1,49,55,73,50,26,5]"
34,173,1595721600,"[4,32,32,40,38,23,4]"
35,201,1596326400,"[3,53,24,63,37,17,4]"
36,227,1596931200,"[3,58,36,58,52,19,1]"
37,190,1597536000,"[2,37,29,40,39,41,2]"
38,241,1598140800,"[2,50,30,53,49,52,5]"
39,258,1598745600,"[10,65,46,53,44,37,3]"
40,296,1599350400,"[8,34,78,78,63,34,1]"
41,279,1599955200,"[2,38,37,84,47,64,7]"
42,192,1600560000,"[3,25,44,40,34,40,6]"
43,212,1601164800,"[8,59,25,46,44,25,5]"
44,184,1601769600,"[2,46,38,33,24,35,6]"
45,160,1602374400,"[2,28,36,34,24,31,5]"
46,243,1602979200,"[2,33,52,37,63,50,6]"
47,272,1603584000,"[15,82,48,74,31,22,0]"
48,281,1604188800,"[0,51,56,77,57,40,0]"
49,321,1604793600,"[5,72,82,66,48,48,0]"
50,248,1605398400,"[7,49,43,55,51,38,5]"
51,285,1606003200,"[6,37,66,76,55,40,5]"
52,159,1606608000,"[0,57,31,59,12,0,0]"
